Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify)
Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,2015-10-16,80
Dilbar,Neha Kakkar,2018-08-01,57
How Far I'll Go,Auli'i Cravalho,2016-11-18,54
Girls Just Want to Have Fun,Cyndi Lauper,1983-10-14,82
Rain Over Me (feat. Marc Anthony),Pitbull,2011-06-17,72
Nena maldición,Paulo Londra,2023-09-15,7
Otra vez (feat. J Balvin),Zion & Lennox,2016-09-30,80
IDOL,BTS,2018-08-24,63
bad guy,Billie Eilish,2019-03-29,84
Symphony (feat. Zara Larsson),Clean Bandit,2017-03-16,75
BICHOTA,KAROL G,2020-10-23,74
Where Are Ü Now (with Justin Bieber),Jack Ü,2015-02-24,76
Adan y Eva,Paulo Londra,2018-11-05,69
I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,2007-11-13,63
How You Like That,BLACKPINK,2020-10-02,82
FAKE LOVE,BTS,2018-05-18,77
Bad and Boujee (feat. Lil Uzi Vert),Migos,2017-01-27,76
Poker Face,Lady Gaga,2008-01-01,83
There's Nothing Holdin' Me Back,Shawn Mendes,2017-04-20,88
La La La,Naughty Boy,2013-01-01,77
Simba Ramwari,Zimpraise,2022-04-18,20
SAD!,XXXTENTACION,2018-03-16,83
Mis Sentimientos - En Vivo Concierto Sinfónico Cumbia Fuzión By Fuze Tea,Los Ángeles Azules,2013,53
No Lie,Sean Paul,2018-06-29,84
"Happy - From ""Despicable Me 2""",Pharrell Williams,2014-03-03,82
Fuiste Tú (feat. Gaby Moreno),Ricardo Arjona,2011,77
Olha A Explosão,MC Kevinho,2016-12-15,74
Beautiful Girls,Sean Kingston,2008-03-11,66
6 AM,J Balvin,2013-09-29,72
Every Breath You Take,The Police,1983-06-17,89
Me Voy Enamorando - Remix,Chino & Nacho,2015-05-05,63
"High Rated Gabru (From ""Nawabzaade"")",Guru Randhawa,2018-06-28,64
Old Town Road,Lil Nas X,2019-06-21,77
PILLOWTALK,ZAYN,2016-03-25,80
Losing My Religion,R.E.M.,1991-03-12,87
Hot N Cold,Katy Perry,2008-06-17,77
Vivir Mi Vida,Marc Anthony,2013-07-23,78
Stay With Me,Sam Smith,2014-05-26,86
Eres Mía,Romeo Santos,2014-02-25,80
The Final Countdown,Europe,1986,79
Break Free,Ariana Grande,2014-08-25,78
Cham Cham,Hommie Dilliwala,2023-08-01,25
Mirrors,Justin Timberlake,2013-03-15,84
Wrecking Ball,Miley Cyrus,2013-10-04,82
Turn Down for What,DJ Snake,2013-12-18,72
Sign of the Times,Harry Styles,2017-05-12,85
Like a Stone,Audioslave,2002-11-17,80
Play Hard (feat. Ne-Yo & Akon),David Guetta,2012-12-07,74
Grenade,Bruno Mars,2010-10-05,80
no tears left to cry,Ariana Grande,2018-08-17,79
Gucci Gang,Lil Pump,2017-10-06,65
SICKO MODE,Travis Scott,2018-08-03,86
I Feel It Coming (Originally Performed by the Weeknd Ft. Daft Punk) - Instrumental Version,Hit The Button Karaoke,2016-12-23,2
Never Say Never,Justin Bieber,2011-01-01,75
Borro Cassette,Maluma,2015-10-30,81
The Scientist,Coldplay,2002-08-08,87
Destino o casualidad,Melendi,2018-05-01,75
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2017-08-11,75
Smack That,Akon,2006-01-01,87
Ai Se Eu Te Pego,Michel Teló,2019-08-01,63
Fancy,Iggy Azalea,2014-01-01,70
Happier,Marshmello,2018-08-17,85
FRIENDS,Marshmello,2018-02-09,80
In My Mind,Dynoro,2018-06-08,81
"Happy - From ""Despicable Me 2""",Pharrell Williams,2014-03-03,82
Waiting For Love,Avicii,2015-10-02,83
Safari,J Balvin,2016-06-24,72
rockstar (feat. 21 Savage),Post Malone,2018-04-27,85
Careless Whisper,George Michael,1998-11-09,84
Culpables,KAROL G,2018-09-14,71
The Spectre,Alan Walker,2017-09-15,78
The Fox (What Does the Fox Say?),Ylvis,2013-09-02,66
Filhall,B Praak,2019-11-07,68
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,2017-06-22,78
Livin' On A Prayer,Bon Jovi,1986-08-16,87
Travesuras,Nicky Jam,2014-01-27,68
Let Me Love You,DJ Snake,2016-08-05,86
Californication,Red Hot Chili Peppers,1999-06-08,86
Stay (Made Popular By Rihanna ft. Mikky Ekko) [Vocal Version],Party Tyme Karaoke,2020-08-07,8
Bodak Yellow,Cardi B,2018-04-06,74
Anaconda,Nicki Minaj,2014-12-15,69
Tal Vez,Paulo Londra,2019-05-23,79
Moonlight,XXXTENTACION,2018-03-16,84
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,2016-04-18,69
Amorfoda,Bad Bunny,2018-02-15,77
We Are Young (feat. Janelle Monáe),fun.,2012-02-14,79
Demons,Imagine Dragons,2012-09-04,87
Callaita,Bad Bunny,2022-05-06,78
Lamaallem,Saad Lamjarred,2015-05-02,62
Diles,Bad Bunny,2016-08-26,82
We Found Love,Rihanna,2011-11-18,86
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,2016-10-07,77
Adicto (with Anuel AA & Ozuna),Tainy,2019-08-22,77
El Baile del Gorila,CantaJuego,2021-03-26,37
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,2011-06-17,85
Havana (feat. Young Thug),Camila Cabello,2018-01-12,81
Stay High - Habits Remix,Tove Lo,2014-09-24,68
Beauty And A Beat,Justin Bieber,2012-06-15,81
Bad (feat. Vassy) - Radio Edit,David Guetta,2014-04-06,66
"Guru Randhawa Mashup, Vol. 02",Venkat's Music,2020-11-18,9
Dernière Danse (TikTok Sped Up) - Remix,Music Factory,2023-04-03,59
Vaina Loca,Ozuna,2018-08-24,78
Wind Of Change,Scorpions,1990-01-01,81
RITMO (Bad Boys For Life),Black Eyed Peas,2019-10-12,73
Me Niego (feat. Ozuna & Wisin),Reik,2019-05-31,74
One More Night,Maroon 5,2012-01-01,80
Sin Contrato,Maluma,2015-10-30,68
Bella Bella - Original Mix,KiRiK,2023-11-17,15
Daru Badnaam,Meet singh,2023-04-20,0
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,2018,70
White Iverson,Post Malone,2016-12-09,80
Desde Esa Noche (feat. Maluma),Thalia,2016-05-06,68
Soy Peor,Bad Bunny,2016-12-08,76
Psycho (feat. Ty Dolla $ign),Post Malone,2018-04-27,79
They Don't Care About Us,Michael Jackson,1995-06-16,76
Don't Speak,No Doubt,1995-10-10,80
Can't Hold Us - Live From Spotify NYC feat. Ray Dalton,Macklemore & Ryan Lewis,2013-04-29,43
Drag Me Down,One Direction,2015-11-13,81
Por Fin Te Encontré,Cali Y El Dandee,2015-09-24,73
Cold Water (feat. Justin Bieber & MØ),Major Lazer,2016-07-22,61
Hawái - Remix,Maluma,2020-11-05,69
Locked out of Heaven,Bruno Mars,2012-12-07,91
The Reason,Hoobastank,2003-12-09,83
Scream & Shout,will.i.am,2013-01-01,80
Back To Black,Amy Winehouse,2006,82
Bom Diggy Diggy,Zack Knight,2018-02-08,69
You Are The Reason,Calum Scott,2018-03-09,81
Say My Name,David Guetta,2018-09-14,71
Ahora Me Llama,KAROL G,2017-10-27,74
Chatak Matak,Renuka Panwar,2020-12-24,61
Total Eclipse of the Heart,Bonnie Tyler,2009-03-26,82
Lonely,Akon,2005-01-01,81
Into You,Ariana Grande,2016-04-01,81
FRIENDS,Marshmello,2018-02-09,80
"Perdón, Perdón - HA-ASH Primera Fila - Hecho Realidad [En Vivo]",Ha*Ash,2014-11-11,73
Báilame - Remix,Nacho,2018-05-11,71
Love Me Again,John Newman,2013-01-01,79
Dueles,Jesse & Joy,2015-12-04,83
Papaoutai,Stromae,2013-01-01,75
Si Tu Novio Te Deja Sola,J Balvin,2017-03-03,78
Ego - Radio Edit,Willy William,2016-03-18,65
EL MAKINON,KAROL G,2021-03-26,79
Sexy And I Know It,LMFAO,2011-01-01,70
Síguelo Bailando,Ozuna,2017-08-25,75
Super Bass,Nicki Minaj,2010-11-22,82
Black Magic,Little Mix,2015-11-06,76
Perro Fiel (feat. Nicky Jam),Shakira,2017-05-26,71
Wide Awake,Katy Perry,2012-03-12,80
Where Is the Love? (Orginally Performed by Black Eyed Peas & Justin Timberlake) [Karaoke Version],The Karaoke Channel,2015-12-11,0
Rolex,Ayo & Teo,2017-03-15,72
Beat It,Michael Jackson,2008-02-08,79
Pumped Up Kicks,Foster The People,2011-05-23,85
Locked Away (feat. Adam Levine),R. City,2015-06-29,63
What's My Name?,Rihanna,2010-11-16,68
Story of My Life,One Direction,2013-11-25,85
Solo (feat. Demi Lovato),Clean Bandit,2018-05-17,71
El Farsante,Ozuna,2017-08-25,77
Sigues Con El,Arcángel,2019-12-13,69
The One That Got Away,Katy Perry,2012-03-12,73
Focus,Ariana Grande,2015-10-30,65
Historia de Taxi,Ricardo Arjona,1994-04-14,69
Yellow,Coldplay,2000-07-10,92
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,2008-11-06,72
Boomerang,JoJo Siwa,2016-05-06,57
Back In Black,AC/DC,1980-07-25,85
My Only One (No Hay Nadie Más),Sebastian Yatra,2018-07-27,65
Memories,Maroon 5,2021-06-11,86
When I'm Gone,Eminem,2005-12-06,61
23,Mike WiLL Made-It,2013-01-01,71
SOLO,JENNIE,2021-06-01,59
Wiggle (feat. Snoop Dogg),Jason Derulo,2013-09-10,66
Bum Bum (Brasilero),El Aleex Deejay,2022-06-23,31
Always,Bon Jovi,1994-10-18,77
Bitter Sweet Symphony,The Verve,2004-01-01,61
Umbrella,Rihanna,2008-06-02,86
Que Tire Pa Lante,Daddy Yankee,2019-10-18,67
We Can't Stop,Miley Cyrus,2013-10-04,80
Desconocidos,Mau y Ricky,2019-05-03,74
Taboo,Don Omar,2010-01-01,72
"Sajna, Say Yes To The Dress",Badshah,2023-01-20,72
Khairiyat,Pritam,2019-08-31,77
Leja Re,Tanishk Bagchi,2018-11-24,65
Part Of Me,Katy Perry,2012-03-12,77
Cheap Thrills,Sia,2016-01-29,80
Hello Koun,Ritesh Pandey,2020-02-13,13
Better,Khalid,2018-09-14,69
Dil Laga Liya Maine,Alka Yagnik,2002-09-06,61
Ya No Tiene Novio,Sebastian Yatra,2018-08-10,72
"Después de Ti, ¿Quién?",La Adictiva,2014-07-29,64
My Immortal - Band Version,Evanescence,2003-03-04,62
Party In The U.S.A.,Miley Cyrus,2009-01-01,84
Blood Sweat & Tears,BTS,2016-10-10,74
Black Beatles,Rae Sremmurd,2016-08-12,77
