id,song_name,artist_name,popularity
0mJTAdmY8olbGQjopDYff3,Vaaste,Dhvani Bhanushali,70
6bvZRLLkBKkmgpBJTTj3QK,How You Like That,BLACKPINK,82
5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,87
2ngmiq1KoYn3x25VOmvd8F,DNA,BTS,66
0OMRAvrtLWE2TvcXorRiB9,La Gozadera (feat. Marc Anthony),Gente De Zona,75
6bvZRLLkBKkmgpBJTTj3QK,How You Like That,BLACKPINK,82
0JChw6k59cZxegh0SGceE1,Zaroori Tha,Rahat Fateh Ali Khan,68
3xrpI0GqWNMjMDOdXUOnK3,Lo Aprendí de Ti - HA-ASH Primera Fila - Hecho Realidad [En Vivo],Ha*Ash,75
1GEBsLDvJGw7kviySRI6GX,You Belong With Me,Taylor Swift,76
2DIZaYKZQgykijd9g4SVd2,Rowdy Baby,Dhanush,55
4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,Whitney Houston,79
1lmlnzzhar85tYV5TXl2qj,"Laung Laachi Title Track (From ""Laung Laachi"")",Mannat Noor,0
5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),Tyga,72
7nKBxz47S9SD79N086fuhn,SUBEME LA RADIO,Enrique Iglesias,70
455AfCsOhhLPRc68sE01D8,Last Friday Night (T.G.I.F.),Katy Perry,75
0ARK753YaiJbpLUk7z5yIM,Dilemma,Nelly,81
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Michael Jackson,83
69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,Coldplay,83
2CvOqDpQIMw69cCzWqr5yr,Halo,Beyoncé,77
1G586ld1gbaECg4Bc6w40O,No Me Acuerdo,Thalia,68
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,85
4PTG3Z6ehGkBFwjybzWkR8,Never Gonna Give You Up,Rick Astley,78
3Ueq2zboxwAbsvHrOjdEqz,MIA (feat. Drake),Bad Bunny,66
7EZC6E7UjZe63f1jRmkWxt,Zombie,The Cranberries,85
69yfbpvmkIaB10msnKT7Q5,Radioactive,Imagine Dragons,65
7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G,77
5kqIPrATaCc2LqxVWzQGbk,7 Years,Lukas Graham,86
4jCodMLVA5tV5MhPrspTfV,BEBE (feat. Anuel AA),6ix9ine,70
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith,87
5W83ErFkO3aKAIS1WMi6u0,Secreto,Anuel AA,75
3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha),Pitbull,83
1vUzNoTHAfwA8LZ9hD4db7,Tu No Vive Asi - Dominican Remix,Quimico Ultra Mega,3
2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,84
1mXuMM6zjPgjL4asbBsgnt,Firework,Katy Perry,71
3umS4y3uQDkqekNjVpiRUs,El Amante,Nicky Jam,70
6cJLfIqwh0tCKRjYM3WpZ5,Darte un Beso,Prince Royce,76
1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,Taylor Swift,87
6VoLV3k4mSho8mcTkCLn15,Danza Kuduro,Made famous by Don Omar ft. Lucenzo,13
63bmZnBN1CiJ9sA4qTEe8y,Adiós Amor,Christian Nodal,78
4FVQNfAYwbU6UGmsKCuBpb,Adiós Amor,Christian Nodal,44
7qCAVkHWZkF44OzOUKf8Cr,El Perdón (with Enrique Iglesias),Nicky Jam,76
6K5BsR04ijf3FHNzjbaagD,Si Se Da - Remix,Myke Towers,78
4MzXwWMhyBbmu6hOcLVD49,DÁKITI,Bad Bunny,80
2qvcTK9ZGm5vxtNOirNGJ2,Gangsta's Paradise (Re-Recorded/Re-Mastered Version) (Instrumental Stems),Coolio,26
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,83
5lhcHMDQpNwhM62lSOrvLf,Ahora Dice,Chris Jedi,75
7vS3Y0IKjde7Xg85LWIEdP,Problem,Ariana Grande,77
63OshgWbxCtI1WHb5C0Txd,Work - R3hab Remix,Rihanna,47
5ZrDlcxIDZyjOzHdYW1ydr,Barbie Girl,Aqua,80
6or1bKJiZ06IlK0vFvY75k,Rap God,Eminem,80
503OTo2dSqe7qk76rgsbep,Still D.R.E.,Dr. Dre,84
01380RE6UfsPSdiUIwrCoH,MIC Drop (Steve Aoki Remix) - Full Length Edition,BTS,71
57bgtoPSgt236HzfBOd8kj,Thunderstruck,AC/DC,85
1u3hCSSOllVyCkbwhPHZRa,Can't Feel My Face (In the Style of the Weeknd) [Instrumental Version],The Karaoke Studio,0
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,86
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,90
7xYpyehLlazBV5WDxdrZM7,Lut Gaye Lofi Mix,Jubin Nautiyal,32
0bMbDctzMmTyK2j74j3nF3,"Alone, Pt. II",Alan Walker,74
4yDjzVhXig9tfO7Zv46FE8,Over the Rainbow,Israel Kamakawiwo'ole,64
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),Shakira,86
5m8wiO2ySMpCtYSwHatWQr,AS IF IT’S YOUR LAST - Japanese Version,BLACKPINK,58
6ocbgoVGwYJhOv1GgI9NsF,7 rings,Ariana Grande,85
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,87
6sYVTOAJVhzGpYY1NB4WD1,Soy una Taza (Versión 2019),CantaJuego,33
2xuv7LMC2lVXJ0nh3rtd70,"It's My Life - Recorded Live @ Nokia Theatre Times Square, NYC, September 19, 2005",Bon Jovi,17
47BBI51FKFwOMlIiX6m8ya,I Want It That Way,Backstreet Boys,84
3pDhN3qB33AOPhQEkUCaWt,Limbo,Daddy Yankee,76
4tPL9PeVZY4c0jUPtSD5nx,Picky,Joey Montana,66
2DlHlPMa4M17kufBvI2lEN,Chop Suey!,System Of A Down,86
7qCAVkHWZkF44OzOUKf8Cr,El Perdón (with Enrique Iglesias),Nicky Jam,76
0nLiqZ6A27jJri2VCalIUs,Nothing Else Matters,Metallica,82
5BrTUo0xP1wKXLJWUaGFtk,Loyal (feat. Lil Wayne & Tyga),Chris Brown,77
4rHmKlFRiFzabiVO6e9w2e,Bon Appétit,Katy Perry,67
7HJw3o8R9YAJCTerSxYDw9,Mile Ho Tum,Himesh Reshammiya,24
6kwAbEjseqBob48jCus7Sz,Elastic Heart,Sia,80
2A17TySL9lcoRTA28w9yfB,La La La (Brazil 2014) (feat. Carlinhos Brown),Shakira,61
2NttzQ2kuVFFmEa8q4rsbu,Lost on You,LP,76
2Sh4sAOfnSHEVKFyysxzat,Can't Remember to Forget You (feat. Rihanna),Shakira,70
00i0O74dXdaKKdCrqHnfXm,La Mordidita (feat. Yotuel),Ricky Martin,69
1iEwyiSLAunPR6uouANE0O,El Perdedor,Maluma,76
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Evanescence,86
7vFoFDWqTX0mHzLfrF1Cfy,Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,80
4tjLYTXFqZhkUDga4bQ0yl,"Dilbar (From ""Satyameva Jayate"")",Neha Kakkar,73
3xRqfJSOEeWLimbfjUEhPH,How Far I'll Go (from Moana) (Originally Performed by Auli'i Cavalho) - Instrumental Version,KaraokePro,17
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,82
2cZrrQMjB63c0iIugYH9zS,Rain Over Me (feat. Marc Anthony),Pitbull,73
77dMSg2VHi2wwXjXNrmcrZ,Nena Maldición (feat. Lenny Tavárez),Paulo Londra,80
3QwBODjSEzelZyVjxPOHdq,Otra vez (feat. J Balvin),Zion & Lennox,80
54azQnjuDYDFfImXimGFsA,IDOL,BTS,63
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,84
1x5sYLZiu9r5E43kMlt9f8,Symphony (feat. Zara Larsson),Clean Bandit,75
7vrJn5hDSXRmdXoR30KgF1,BICHOTA,KAROL G,74
66hayvUbTotekKU3H4ta1f,Where Are Ü Now (with Justin Bieber),Jack Ü,76
6FyRXC8tJUh863JCkyWqtk,Adan y Eva,Paulo Londra,69
6nFYXpBgrNcZjbtNEuc6yR,I Am Your Gummy Bear (The Gummy Bear Song),Gummibär,63
6bvZRLLkBKkmgpBJTTj3QK,How You Like That,BLACKPINK,82
6m1TWFMeon7ai9XLOzdbiR,FAKE LOVE,BTS,77
0M9ydKzuF3oZTfYYPfaGX1,Bad and Boujee (feat. Lil Uzi Vert),Migos,76
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,83
3wPPWcVuinAU7dXcJXtCID,La La La,Naughty Boy,77
3wPPWcVuinAU7dXcJXtCID,La La La,Naughty Boy,77
689P4hWre0OnX7ZtgjKk6w,Simba Ramwari,Zimpraise,20
3ee8Jmje8o58CHK66QrVC2,SAD!,XXXTENTACION,83
7upDAKgtlRbSC7wYvDCugn,Mis Sentimientos - En Vivo Concierto Sinfónico Cumbia Fuzión By Fuze Tea,Los Ángeles Azules,53
48QmG1dfvMuYLxMPt7KSRA,No Lie,Sean Paul,84
1X9NVfPMpopapXyLoZrSCD,"Happy - From ""Despicable Me 2""",Pharrell Williams,13
29csiYMOfBmLmGwxmISrMy,Fuiste Tú (feat. Gaby Moreno),Ricardo Arjona,77
6Q4foUefrAyCt8VxJFML56,Olha A Explosão,MC Kevinho,74
67D9O4Oau629qirRXtTWCS,Beautiful Girls,Sean Kingston,66
3uvypVUsiIr1B0BccIcsEh,6 AM,J Balvin,72
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,89
0SUukeNYkHMk8bxwgGQKJa,Me Voy Enamorando - Remix,Chino & Nacho,63
2LEwvQq0PFtrmIl2dikenr,"High Rated Gabru (From ""High Rated Gabru"")",Guru Randhawa,60
2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,Lil Nas X,78
0PDUDa38GO8lMxLCRc4lL1,PILLOWTALK,ZAYN,80
31AOj9sFz2gM0O3hMARRBx,Losing My Religion,R.E.M.,87
1TEjSXPdAakDotj2Wji3PU,Hot N Cold,Katy Perry,77
3QHMxEOAGD51PDlbFPHLyJ,Vivir Mi Vida,Marc Anthony,78
5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,Sam Smith,86
6I86RF3odBlcuZA9Vfjzeq,Eres Mía,Romeo Santos,80
3MrRksHupTVEQ7YbA0FsZK,The Final Countdown,Europe,79
12KUFSHFgT0XCoiSlvdQi4,Break Free,Ariana Grande,78
7HTNHq5WD9GDPlNom2vMsh,Cham Cham,Hommie Dilliwala,25
4rHZZAmHpZrA3iH5zx8frV,Mirrors,Justin Timberlake,84
2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,Miley Cyrus,82
67awxiNHNyjMXhVgsHuIrs,Turn Down for What,DJ Snake,72
5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,85
3YuaBvuZqcwN3CEAyyoaei,Like a Stone,Audioslave,80
5YPMEOJ58kfl56VHxTgwx3,Play Hard (feat. Ne-Yo & Akon),David Guetta,74
2tJulUYLDKOg9XrtVkMgcJ,Grenade,Bruno Mars,80
2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry,Ariana Grande,79
43ZyHQITOjhciSUUNPVRHc,Gucci Gang,Lil Pump,65
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,86
5a1QlYZreXUH1xK94K3NrR,I Feel It Coming (Originally Performed by the Weeknd Ft. Daft Punk) - Instrumental Version,Hit The Button Karaoke,2
5GYbkDveRD2I8M5ZJ14hWn,Never Say Never,Justin Bieber,75
6DUdDIRgLqCGq1DwkNWQTN,Borro Cassette,Maluma,81
75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,87
