Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify),Genre
Tu No Vive Asi - Dominican Remix,Quimico Ultra Mega,2016-02-28,3,"['modern rock', 'pop', 'pov: indie', 'rock']"
Ride,Twenty One Pilots,2015-05-15,84,"['dance pop', 'miami hip hop', 'pop']"
Firework,Katy Perry,2010-08-24,71,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
El Amante,Nicky Jam,2017-01-20,70,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Darte un Beso,Prince Royce,2013-10-08,75,['pop']
Look What You Made Me Do,Taylor Swift,2017-11-10,87,[]
Danza Kuduro,Made famous by Don Omar ft. Lucenzo,2010-11-08,13,"['mariachi', 'musica mexicana', 'ranchera']"
Adiós Amor,Christian Nodal,2017-08-25,78,['pop']
I'm an Albatraoz,AronChupa,2014-08-08,74,['swedish pop']
El Perdón (with Enrique Iglesias),Nicky Jam,2017-01-20,76,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Si Se Da - Remix,Myke Towers,2019-08-02,78,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']"
DÁKITI,Bad Bunny,2020-10-30,80,"['reggaeton', 'trap latino', 'urbano latino']"
Gangsta's Paradise,Coolio,1995-11-07,87,"['reggaeton', 'trap latino', 'urbano latino']"
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2021-04-23,83,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Ahora Dice,Chris Jedi,2017-03-17,75,"['reggaeton', 'trap latino', 'urbano latino']"
Problem,Ariana Grande,2014-08-25,77,"['barbadian pop', 'pop', 'urban contemporary']"
Work - R3hab Remix,Rihanna,2016-03-18,47,['pop']
Barbie Girl,Aqua,1997-01-01,80,"['australian rock', 'hard rock', 'rock']"
Rap God,Eminem,2013-11-05,79,['karaoke']
Still D.R.E.,Dr. Dre,1999-11-16,84,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
