danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.666,0.862,2,-4.376,0,0.203,0.154,0.0,0.139,0.203,106.028,audio_features,43wgyQXc2M9KmTDUqVzugM,spotify:track:43wgyQXc2M9KmTDUqVzugM,https://api.spotify.com/v1/tracks/43wgyQXc2M9KmTDUqVzugM,https://api.spotify.com/v1/audio-analysis/43wgyQXc2M9KmTDUqVzugM,276688,4
0.82,0.813,1,-3.646,1,0.0268,0.0106,4.84e-05,0.0893,0.893,126.026,audio_features,4PHX6bpHDxiR9RGzAKWcyk,spotify:track:4PHX6bpHDxiR9RGzAKWcyk,https://api.spotify.com/v1/tracks/4PHX6bpHDxiR9RGzAKWcyk,https://api.spotify.com/v1/audio-analysis/4PHX6bpHDxiR9RGzAKWcyk,200587,4
0.848,0.637,9,-5.132,1,0.156,0.0413,0.0,0.0521,0.698,96.988,audio_features,4ZRrLHqzhGRXYj2qcB4s5S,spotify:track:4ZRrLHqzhGRXYj2qcB4s5S,https://api.spotify.com/v1/tracks/4ZRrLHqzhGRXYj2qcB4s5S,https://api.spotify.com/v1/audio-analysis/4ZRrLHqzhGRXYj2qcB4s5S,222680,4
0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,audio_features,05SBRd4fXgn8FX7bf8BCAE,spotify:track:05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/tracks/05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/audio-analysis/05SBRd4fXgn8FX7bf8BCAE,234507,4
0.844,0.639,11,-4.461,0,0.0437,0.62,0.0,0.46,0.974,121.033,audio_features,01ksPzu3Bw8Lsf9o6xIk8C,spotify:track:01ksPzu3Bw8Lsf9o6xIk8C,https://api.spotify.com/v1/tracks/01ksPzu3Bw8Lsf9o6xIk8C,https://api.spotify.com/v1/audio-analysis/01ksPzu3Bw8Lsf9o6xIk8C,163560,3
0.808,0.497,6,-4.008,1,0.0453,0.18,0.0,0.0642,0.962,87.987,audio_features,4nTduFjaTmGysc9WKNuCcs,spotify:track:4nTduFjaTmGysc9WKNuCcs,https://api.spotify.com/v1/tracks/4nTduFjaTmGysc9WKNuCcs,https://api.spotify.com/v1/audio-analysis/4nTduFjaTmGysc9WKNuCcs,184722,4
0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,audio_features,0snQkGI5qnAmohLE7jTsTn,spotify:track:0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/tracks/0snQkGI5qnAmohLE7jTsTn,https://api.spotify.com/v1/audio-analysis/0snQkGI5qnAmohLE7jTsTn,218933,3
0.746,0.873,7,-3.803,1,0.128,0.0244,0.0,0.354,0.817,148.075,audio_features,2d8JP84HNLKhmd6IYOoupQ,spotify:track:2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/tracks/2d8JP84HNLKhmd6IYOoupQ,https://api.spotify.com/v1/audio-analysis/2d8JP84HNLKhmd6IYOoupQ,222093,4
0.532,0.661,11,-4.924,1,0.0268,0.366,0.0,0.354,0.446,86.983,audio_features,7Cd17G3oNQ34OWUwS8ZxfR,spotify:track:7Cd17G3oNQ34OWUwS8ZxfR,https://api.spotify.com/v1/tracks/7Cd17G3oNQ34OWUwS8ZxfR,https://api.spotify.com/v1/audio-analysis/7Cd17G3oNQ34OWUwS8ZxfR,256107,4
0.841,0.639,9,-6.052,0,0.0688,0.0156,0.0654,0.0545,0.675,99.002,audio_features,7EVk9tRb6beJLTHrg6AkY9,spotify:track:7EVk9tRb6beJLTHrg6AkY9,https://api.spotify.com/v1/tracks/7EVk9tRb6beJLTHrg6AkY9,https://api.spotify.com/v1/audio-analysis/7EVk9tRb6beJLTHrg6AkY9,241875,4
0.802,0.717,0,-12.507,1,0.0356,0.483,0.919,0.104,0.104,110.013,audio_features,27hr2hRKgPXxQACTqbss4f,spotify:track:27hr2hRKgPXxQACTqbss4f,https://api.spotify.com/v1/tracks/27hr2hRKgPXxQACTqbss4f,https://api.spotify.com/v1/audio-analysis/27hr2hRKgPXxQACTqbss4f,166354,4
