danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.383,0.662,2,-5.162,1,0.0333,0.165,0.0,0.248,0.138,121.154,audio_features,225xvV8r1yKMHErSWivnow,spotify:track:225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/tracks/225xvV8r1yKMHErSWivnow,https://api.spotify.com/v1/audio-analysis/225xvV8r1yKMHErSWivnow,298760,4
0.846,0.659,10,-5.277,0,0.259,0.643,0.0,0.119,0.497,94.195,audio_features,5lZaM4985p0t3YfizlQWUz,spotify:track:5lZaM4985p0t3YfizlQWUz,https://api.spotify.com/v1/tracks/5lZaM4985p0t3YfizlQWUz,https://api.spotify.com/v1/audio-analysis/5lZaM4985p0t3YfizlQWUz,187312,4
0.641,0.68,0,-7.64,1,0.23,0.485,0.0,0.101,0.574,146.114,audio_features,4BEHMW1RcHJ0wOyKK1CH7B,spotify:track:4BEHMW1RcHJ0wOyKK1CH7B,https://api.spotify.com/v1/tracks/4BEHMW1RcHJ0wOyKK1CH7B,https://api.spotify.com/v1/audio-analysis/4BEHMW1RcHJ0wOyKK1CH7B,185467,4
0.798,0.443,2,-6.062,1,0.0403,0.244,0.0,0.326,0.354,125.232,audio_features,7I6DceMT3utDOHjcYCbrr4,spotify:track:7I6DceMT3utDOHjcYCbrr4,https://api.spotify.com/v1/tracks/7I6DceMT3utDOHjcYCbrr4,https://api.spotify.com/v1/audio-analysis/7I6DceMT3utDOHjcYCbrr4,293053,4
0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,audio_features,5fXslGZPI5Cco6PKHzlSL3,spotify:track:5fXslGZPI5Cco6PKHzlSL3,https://api.spotify.com/v1/tracks/5fXslGZPI5Cco6PKHzlSL3,https://api.spotify.com/v1/audio-analysis/5fXslGZPI5Cco6PKHzlSL3,188606,4
0.703,0.493,8,-8.24,1,0.0333,0.0143,0.0,0.0954,0.402,103.028,audio_features,4WMTMlZN9zX3PMhhqfR5IL,spotify:track:4WMTMlZN9zX3PMhhqfR5IL,https://api.spotify.com/v1/tracks/4WMTMlZN9zX3PMhhqfR5IL,https://api.spotify.com/v1/audio-analysis/4WMTMlZN9zX3PMhhqfR5IL,216617,4
0.725,0.912,9,-3.665,0,0.0851,0.155,7.68e-05,0.107,0.674,104.054,audio_features,4tjLYTXFqZhkUDga4bQ0yl,spotify:track:4tjLYTXFqZhkUDga4bQ0yl,https://api.spotify.com/v1/tracks/4tjLYTXFqZhkUDga4bQ0yl,https://api.spotify.com/v1/audio-analysis/4tjLYTXFqZhkUDga4bQ0yl,184433,4
0.72,0.878,0,-5.819,1,0.0652,0.225,1.45e-06,0.158,0.735,100.138,audio_features,0Utzzt4g5obYXkREtLiRR1,spotify:track:0Utzzt4g5obYXkREtLiRR1,https://api.spotify.com/v1/tracks/0Utzzt4g5obYXkREtLiRR1,https://api.spotify.com/v1/audio-analysis/0Utzzt4g5obYXkREtLiRR1,207693,4
0.561,0.779,10,-5.107,0,0.0531,0.0862,0.0,0.078,0.235,81.965,audio_features,0At2qAoaVjIwWNAqrscXli,spotify:track:0At2qAoaVjIwWNAqrscXli,https://api.spotify.com/v1/tracks/0At2qAoaVjIwWNAqrscXli,https://api.spotify.com/v1/audio-analysis/0At2qAoaVjIwWNAqrscXli,256064,4
0.557,0.599,6,-6.279,0,0.0695,0.839,0.0,0.227,0.872,142.578,audio_features,24eHpyEtDAYM6B3WlAHeXP,spotify:track:24eHpyEtDAYM6B3WlAHeXP,https://api.spotify.com/v1/tracks/24eHpyEtDAYM6B3WlAHeXP,https://api.spotify.com/v1/audio-analysis/24eHpyEtDAYM6B3WlAHeXP,2383993,4
0.773,0.795,8,-5.537,0,0.0412,0.0587,0.00237,0.154,0.649,115.997,audio_features,0CtZpaOhtzvLV3FfcsVpQo,spotify:track:0CtZpaOhtzvLV3FfcsVpQo,https://api.spotify.com/v1/tracks/0CtZpaOhtzvLV3FfcsVpQo,https://api.spotify.com/v1/audio-analysis/0CtZpaOhtzvLV3FfcsVpQo,258474,4
0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49e-05,0.665,0.653,109.919,audio_features,7GbqE3MlkKosIaCvf50JRK,spotify:track:7GbqE3MlkKosIaCvf50JRK,https://api.spotify.com/v1/tracks/7GbqE3MlkKosIaCvf50JRK,https://api.spotify.com/v1/audio-analysis/7GbqE3MlkKosIaCvf50JRK,264893,4
0.564,0.613,0,-7.489,1,0.0293,0.687,0.0,0.181,0.529,134.032,audio_features,0g7NT2hUyp63UzB1OYlKlZ,spotify:track:0g7NT2hUyp63UzB1OYlKlZ,https://api.spotify.com/v1/tracks/0g7NT2hUyp63UzB1OYlKlZ,https://api.spotify.com/v1/audio-analysis/0g7NT2hUyp63UzB1OYlKlZ,256233,4
0.361,0.608,9,-6.757,0,0.098,0.05,7.96e-05,0.183,0.0789,191.812,audio_features,0SNIAtRCPVVLoGEPcuHSIc,spotify:track:0SNIAtRCPVVLoGEPcuHSIc,https://api.spotify.com/v1/tracks/0SNIAtRCPVVLoGEPcuHSIc,https://api.spotify.com/v1/audio-analysis/0SNIAtRCPVVLoGEPcuHSIc,199947,4
0.619,0.577,8,-7.5,0,0.0396,0.291,1.31e-06,0.151,0.485,75.021,audio_features,0zGqgxkWsxTsjbYTRzsW2C,spotify:track:0zGqgxkWsxTsjbYTRzsW2C,https://api.spotify.com/v1/tracks/0zGqgxkWsxTsjbYTRzsW2C,https://api.spotify.com/v1/audio-analysis/0zGqgxkWsxTsjbYTRzsW2C,330320,4
