Title,Most view per day,Most-view-date,Highest rank,Time to Highest rank,Charted-duration,URL id:
Eminem - Without Me (Official Music Video),3555120,2022/07/12,46.0,,145.0,YVkUvmDQ3HY
Coldplay - Paradise (Official Video),2571600,2022/07/14,3.0,1.0,179.0,1G4isv_Fylg
Rag'n'Bone Man - Human (Official Video),2121850,2016/12/31,60.0,,159.0,L3wKzyIN1yk
MC Fioti - Bum Bum Tam Tam (KondZilla) | Official Music Video,4316623,2017/12/31,23.0,,108.0,_P7S2lKif-A
Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee (Video Oficial),4365201,2016/12/31,6.0,,77.0,AMTAQ-AJS4Y
David Guetta - Titanium ft. Sia (Official Video),2511297,2019/01/16,8.0,,221.0,JRfuAukYTKg
Una Lady Como Tú - MTZ Manuel Turizo | Video Oficial,6594191,2017/09/02,9.0,,83.0,VYtJAuoZxcc
Nirvana - Smells Like Teen Spirit (Official Music Video),1571032,2019/12/27,74.0,,66.0,hTWKbfoikeg
BTS (방탄소년단) 'Dynamite' Official MV,82232664,2020/08/22,1.0,1.0,126.0,gdZLi9oWNZg
CNCO - Reggaetón Lento (Bailemos),6789752,2017/03/18,6.0,,67.0,7jpqqBX-Myw
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video],6093644,2017/06/10,6.0,,58.0,NGLxoKOvzu4
Lady Gaga - Bad Romance (Official Music Video),1740408,2009/12/19,1.0,8.0,112.0,qrO4YZeyl0I
"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",12234577,2017/04/28,2.0,1.0,46.0,weeI1G46q0o
BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV,60119890,2019/04/12,1.0,1.0,172.0,XsX3ATc3FbA
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") (Official Video)",2802456,2016/05/17,22.0,,91.0,ru0K8uYEZWw
Justin Bieber - Love Yourself (PURPOSE : The Movement),5268911,2016/03/05,4.0,,85.0,oyEuk8j8imI
Queen,2932660,2018/11/10,22.0,,35.0,fJ9rUzIMcZQ
Ozuna - Se Preparó (Video Oficial) | Odisea,6277999,2017/09/09,7.0,,79.0,KWGrPNqz4uc
"Carlos Vives, Sebastián Yatra - Robarte un Beso (Official Video)",8046994,2017/07/28,18.0,,92.0,Mtau4v6foHA
Daddy Yankee - Shaky Shaky (Video Oficial),9131906,2016/12/10,2.0,4.0,49.0,aKuivabiOns
Martin Garrix - Animals (Official Video),1422636,2016/03/19,84.0,,17.0,gCYcHz2k5x0
4 Non Blondes - What's Up (Official Music Video),1650355,2019/01/16,84.0,,165.0,6NXnxTNIWkc
In The End [Official HD Music Video] - Linkin Park,8089889,2017/07/21,20.0,,45.0,eVTXPUF4Oz4
P!nk - Just Give Me A Reason ft. Nate Ruess,2050168,2013/02/08,4.0,,121.0,OpQFFLBMEPI
"Alex Rose  ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro - Toda (Remix) [Video Oficial]",3616847,2018/09/01,12.0,,171.0,lKDGxAHZt0E
Maluma - Corazón (Official Video) ft. Nego do Borel,13986510,2017/12/31,1.0,4.0,44.0,GmHrjFIWl6U
BLACKPINK - '붐바야 (BOOMBAYAH)' M/V,3328090,2016/08/08,57.0,,144.0,bwmSjveL3Lc
Lehanga : Jass Manak (Official Video) Satti Dhillon - Punjabi Song - GK Digital - Geet MP3,4563803,2019/10/18,4.0,,125.0,RKioDWlajvo
"Carlos Vives, Shakira - La Bicicleta",6300411,2016/12/31,6.0,,61.0,-UV0QGLmYys
"Shawn Mendes, Camila Cabello - Señorita",24320945,2019/06/21,1.0,3.0,74.0,Pkh8UtuejGw
Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),5573391,2016/05/07,2.0,2.0,50.0,foE1mO2yM04
French Montana - Unforgettable ft. Swae Lee,3578306,2017/09/09,24.0,,51.0,CTFtOOh47oo
Calvin Harris - Summer (Official Video),1769672,2016/03/17,8.0,,159.0,ebXbLfLACGM
Bruno Mars - 24K Magic (Official Music Video),8325376,2016/10/07,6.0,,58.0,UqyT8IEBkvY
"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",3537650,2015/09/19,4.0,,107.0,uO59tfQ2TbA
James Arthur - Say You Won't Let Go,3288981,2019/01/16,39.0,,71.0,0yW7w8F2TVA
Sam Smith - I'm Not The Only One (Official Music Video),2433203,2015/02/09,12.0,,119.0,nCkpzqqog4k
