Id,Song Name,Artist Name,Channel_name,View,Like,Subscriber,Hashtag,Most view per day,Highest rank,Most-view-date,Charted-duration,Popularity Score (Spotify),Duration,Country,Publish_time,Release Date (Spotify),Genre,spotify_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
tcYodQoapMg,positions,Ariana Grande,ArianaGrandeVevo,546791323.0,8386787.0,17600000.0,2.0,18110759,2.0,2020-10-23,32.0,83,0:02:58,,2020-10-23 04:00:10,2020-10-30,pop,35mvY5S1H3J2QZyna3TFe0,172325.0,0.737,0.802,0.0,-4.771,1.0,0.0878,0.468,0.0,0.0931,0.682,144.015,4.0
Ci0WbaUH3no,She Move It Like,Badshah,Sony Music India,546963454.0,3317436.0,58700000.0,4.0,7037406,11.0,2018-12-11,16.0,66,0:03:06,IN,2018-12-10 09:28:29,2018-08-17,"boy band, pop, post-teen pop, talent show",6iSUIEoQaZXB2gtTCTeQYv,181765.0,0.832,0.477,0.0,-6.949,1.0,0.0481,0.00725,6.47e-05,0.205,0.844,101.997,4.0
Ho32Oh6b4jc,Perfect,One Direction,OneDirectionVEVO,547073085.0,4703521.0,21800000.0,8.0,4217156,22.0,2015-10-21,30.0,81,0:03:49,,2015-10-20 23:00:00,2015-11-13,"desi hip hop, desi trap, filmi, modern bollywood",3NLnwwAQbbFKcEcV8hDItk,230333.0,0.647,0.823,2.0,-5.231,1.0,0.0762,0.0598,0.0,0.119,0.396,99.933,4.0
6nl5U0O5nOU,Perdóname,La Factoria,LaFactoriaVEVO,545839801.0,2405239.0,642000.0,0.0,358737,21.0,2022-03-12,25.0,78,0:03:47,,2009-11-20 19:30:45,2006-12-04,"arrocha, sertanejo, sertanejo universitario",1OYZbxODr6TMlaT2PRi6Wi,242390.0,0.67,0.821,9.0,-5.868,0.0,0.0334,0.251,0.0,0.199,0.384,94.983,4.0
YXSFMV8JOF4,Anti-Amor - Ao Vivo,Gustavo Mioto,Gustavo Mioto,546571535.0,1944110.0,7340000.0,0.0,2314251,73.0,2018-04-28,33.0,27,0:02:45,BR,2017-11-17 13:00:03,2020-02-14,,4lHu4NduxtNJU4mxAuMRXB,165360.0,0.643,0.541,1.0,-8.786,1.0,0.0777,0.463,0.0,0.381,0.499,132.143,4.0
dhYOPzcsbGM,On My Way,Alan Walker,Alan Walker,546174666.0,9718005.0,44600000.0,3.0,5289725,7.0,2019-03-25,21.0,75,0:03:37,NO,2019-03-21 07:57:49,2019-03-21,"dance pop, r&b, southern hip hop, urban contemporary",4n7jnSxVLd8QioibtTDBDq,193798.0,0.509,0.689,1.0,-4.929,0.0,0.102,0.0209,0.0,0.301,0.297,170.087,4.0
H64QG4UsrGI,Let Me Love You,Mario,MarioVEVO,547069748.0,2934419.0,602000.0,3.0,373627,21.0,2018-07-06,25.0,74,0:04:27,,2014-02-26 13:25:58,2004-03-15,electro house,7GaFYUqP2WdR4KTPk7cXoP,249120.0,0.686,0.588,7.0,-8.343,0.0,0.0554,0.178,0.0,0.0954,0.617,94.519,4.0
atNGFSCjwuc,Bubalu - Remix,Jona Mix,Hear This Music,544460040.0,3141110.0,14700000.0,0.0,6031352,8.0,2018-11-09,21.0,33,0:04:51,PR,2018-11-06 05:05:31,2023-09-27,desi pop,6BlNj862v6tMsU9NizA2ba,150601.0,0.81,0.71,9.0,-6.77,1.0,0.0773,0.0178,2.29e-06,0.337,0.94,102.03,4.0
r2LpOUwca94,Lean On (feat. MØ & DJ Snake),Major Lazer,Major Lazer Official,544220228.0,4141419.0,14800000.0,5.0,685416,21.0,2016-09-24,25.0,64,0:02:51,US,2016-06-16 16:53:47,2015-06-01,"cumbia 420, previa",1qE47wUKG2juJwPoLqg4C9,176561.0,0.723,0.809,7.0,-3.081,0.0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4.0
5X7WWVTrBvM,Lamberghini,The Doorbeen,Speed Records,544161299.0,3174670.0,43100000.0,0.0,4573281,34.0,2019-03-03,24.0,52,0:03:38,IN,2018-02-26 03:30:00,2018-02-26,"dance pop, edm, electro house, moombahton, pop, pop dance",45P9g6kUb7itdonjjGjDdS,216999.0,0.953,0.584,11.0,-7.57,1.0,0.0518,0.543,0.0,0.0786,0.861,104.007,4.0
